i,si1,si2,si3,si4,si5,gi,yi,predicted_gi
256,11.809928,9.360901,-0.0,40.700811,20.810818,51.004857,,54.461784
257,15.29458,10.187033,4.994528,162.755917,19.501061,33.547563,,29.713774
258,17.969681,5.932728,4.791327,78.686919,11.330101,55.001358,,55.359116
259,6.157641,5.51155,-0.0,10.715034,14.946992,68.333333,,69.30865
260,21.614599,14.81973,8.733333,75.010316,21.489454,40.0,,40.670357
261,16.934594,0.566083,-4.333333,154.998835,2.760128,27.122605,,27.616283
262,18.151821,13.27752,8.733333,33.059524,16.549347,38.119804,,40.02775
263,15.225327,13.699302,8.682577,182.443779,18.195142,33.026006,,33.547752
264,16.95075,11.942758,8.725645,63.841156,17.191467,56.130941,,58.082504
265,12.106522,1.480684,-4.37518,65.955934,4.199419,47.174137,,47.615692
266,21.89596,3.928068,-4.417573,40.847134,9.430109,37.290773,,35.18608
267,19.536884,5.030353,4.667477,153.442947,0.318048,25.165454,,26.103031
268,21.556213,10.195919,5.01192,13.99463,7.156281,22.889806,,23.99358
269,15.594326,2.048297,-4.336434,190.00679,2.963445,27.105292,,27.346264
270,15.330199,10.818412,7.517348,31.641957,9.911384,14.086334,,14.37217
271,20.673666,1.601428,-4.333333,57.289173,12.590048,53.195797,,54.170555
272,15.653022,9.80636,4.743951,137.425823,17.424512,41.826911,,44.258255
273,10.793844,7.412609,-0.0,28.229965,9.234205,40.0,,42.38605
274,15.773202,11.685776,8.621426,102.41733,11.715804,47.068722,,49.071274
275,18.674913,10.725556,7.034624,144.265385,20.365497,13.962178,,15.503071
276,18.272388,13.555808,8.733333,185.769027,19.7798,19.446036,,20.62544
277,19.898223,13.363838,8.733333,146.42077,11.986335,32.017262,,32.4413
278,21.923234,5.012446,4.666999,149.969604,19.824727,30.165635,,29.510918
279,21.567254,10.481187,5.963657,81.463921,1.140188,40.265855,,39.607033
280,13.151001,2.967147,-4.415092,47.898339,17.789255,50.132703,,51.21295
281,21.221694,0.458114,-4.333333,104.170095,7.367901,42.653171,,43.997047
282,12.41437,11.161114,4.891346,43.815472,5.031029,35.272861,,34.754314
283,8.246319,7.500337,-0.0,168.477581,18.09284,57.532698,,57.224
284,11.703552,7.198832,-0.0,132.586582,7.661161,42.427771,,44.13938
285,18.461367,13.570834,8.733333,163.247057,3.640353,13.222719,,13.455591
286,15.971955,9.148,4.670331,158.77552,0.618938,25.147714,,26.091778
287,20.741885,9.264996,4.677275,93.821041,21.018135,50.845841,,49.918434
288,17.815165,12.891635,8.733333,61.904996,14.966396,60.607218,,61.279175
289,16.366578,12.082341,8.733333,137.51585,18.932367,29.753526,,29.005917
290,15.894981,8.650823,4.667368,197.370445,20.660057,25.166135,,24.914856
291,16.462213,2.743837,-4.349674,153.986775,14.964267,67.990501,,67.6168
292,3.905812,3.59898,0.0,165.916169,20.183322,40.0,,42.937172
293,20.26755,13.297679,8.733333,141.216953,5.647217,13.222719,,13.672356
294,3.504022,0.430112,0.0,119.067284,19.483599,58.324351,,57.76931
295,14.35888,7.348521,4.034649,150.574824,20.240941,28.660665,,29.700737
296,7.522341,2.518907,-6.656512,99.344441,6.601396,35.879893,,35.18905
297,17.381883,14.68021,8.733333,173.026531,1.614601,13.222719,,13.336492
298,18.174702,10.690417,6.865588,13.605539,16.882772,36.763395,,40.066887
299,9.965202,7.507074,-0.0,193.709188,1.868949,40.0,,39.834885
300,11.229595,7.066326,-0.0,19.751262,16.03281,68.059485,,69.21425
301,5.077896,0.894283,-8.73195,109.395417,9.853572,32.199791,,30.723646
302,12.525653,10.229579,2.363371,80.593982,14.327471,80.023051,,80.56009
303,7.618917,0.636467,-6.448771,21.408031,3.729041,14.304127,,15.988771
304,19.495673,1.071682,-4.333333,144.833234,11.691883,43.939644,,41.69976
305,14.502735,7.824748,4.18135,122.73647,13.943619,57.388025,,57.01423
306,9.752137,1.45095,-4.867694,156.593639,0.310112,23.876323,,24.038803
307,14.015751,12.272228,8.499824,113.324116,10.348169,33.627951,,34.30869
308,21.697429,12.263206,8.733333,162.263832,19.499171,24.311631,,23.433437
309,15.385188,10.836594,7.62125,115.355172,2.508626,29.717552,,28.960491
310,18.928312,2.247982,-4.335593,188.805839,9.735905,27.109989,,27.122862
311,17.343156,9.894079,4.75852,174.29043,14.510054,47.926511,,48.844765
312,13.134739,7.778924,2.524395,101.520442,6.485005,51.096192,,52.521065
313,21.090484,14.594618,8.733333,157.764633,20.908105,13.416867,,12.914255
314,19.361188,9.734872,4.733045,94.606128,15.274297,66.543559,,65.93679
315,16.652196,12.004959,8.733333,165.76034,4.549744,13.222719,,13.475777
316,19.173745,6.806966,4.672405,64.496318,12.204771,55.592917,,55.949974
317,20.424449,6.485873,4.701824,195.229307,19.344127,36.525442,,33.59591
318,16.509108,12.379707,8.733333,55.642208,12.272869,48.257911,,51.33448
319,8.188698,1.252047,-5.696687,14.566161,16.551349,39.900066,,40.956276
320,13.93196,1.997565,-4.392733,150.244721,19.687817,34.5063,,33.05786
321,20.098703,2.600829,-4.344476,166.237724,18.520572,43.315258,,43.14259
322,17.192564,5.864067,4.804777,184.467619,2.878847,24.297645,,25.335749
323,16.067581,12.470696,8.733333,65.404859,4.161387,37.65134,,37.529488
324,19.362935,12.050466,8.733333,160.813853,3.380076,13.222719,,13.458077
325,21.031893,0.907068,-4.333333,107.650067,0.635845,41.004695,,42.29442
326,14.67992,5.988867,4.352674,92.658976,0.199868,48.59348,,47.96692
327,15.516935,7.903137,4.675625,164.15005,13.121938,44.464852,,45.800697
328,11.151349,6.251992,-0.0,190.381301,13.399085,63.853011,,64.64633
329,10.718192,9.852898,-0.0,15.254578,20.216316,40.0,,44.92135
330,11.708987,9.4196,-0.0,141.734213,16.138638,67.202586,,65.710335
331,6.018248,4.379761,-1.951158,46.985289,6.625233,47.954358,,47.09356
332,13.670546,6.474768,3.281526,79.779112,10.902639,58.935232,,59.64158
333,0.435454,0.232307,0.0,53.624885,5.679587,56.036272,,57.668015
334,21.384869,14.760956,8.733333,166.502663,16.122796,39.572954,,38.283897
335,15.036153,2.507526,-4.349131,199.074762,2.568737,27.034254,,27.144432
336,1.622204,1.593245,0.0,129.950197,16.412914,67.02069,,67.47822
337,6.084886,5.586146,-0.0,140.790566,17.81536,58.40617,,57.648186
338,6.938594,2.971776,-8.61573,186.46064,16.395141,63.154542,,62.32099
339,14.0127,7.345315,3.670288,137.53051,7.417153,30.295729,,30.230293
340,7.244164,5.092401,-0.0,113.670784,12.85515,69.052191,,68.93707
341,14.341265,14.274457,8.558065,76.169506,10.316946,43.130781,,45.168488
342,19.763412,13.804981,8.733333,126.915897,1.919831,22.331527,,22.547474
343,8.30091,0.790155,-5.603341,72.645724,18.231783,69.160384,,66.07976
344,19.599807,11.067871,8.723248,81.523889,15.090784,68.308305,,67.17397
345,11.880546,4.036791,-4.064259,73.739945,5.881151,51.483775,,52.095505
346,13.177876,6.342534,2.595292,93.679752,21.328638,64.408734,,66.59272
347,8.896316,8.218064,-0.0,100.682769,4.043032,60.424651,,61.851044
348,14.531109,14.141055,8.589238,182.107156,6.5987,13.269006,,13.455107
349,7.699517,6.266162,-0.0,41.286204,9.046068,47.581857,,49.500816
350,19.055058,14.745787,8.733333,67.720735,5.202762,38.823055,,38.544678
351,8.735534,4.521824,-1.716641,114.825124,4.291217,50.044715,,49.817657
352,20.178359,10.516481,6.107471,97.386488,15.518344,61.314042,,60.587814
353,20.285851,9.995083,4.776906,52.443797,3.972062,37.236027,,39.0689
354,21.493733,8.086897,4.666667,115.918693,11.491324,45.727717,,46.42685
355,16.107824,10.471583,5.925301,175.66554,6.51578,15.312717,,15.325416
356,12.642098,9.997919,1.620369,12.190044,10.181202,38.12973,,40.57263
357,7.04415,2.671987,-8.382377,88.175294,20.355113,68.233427,,58.89901
358,12.698799,1.920216,-4.396324,16.8516,4.749561,26.769011,,28.922901
359,20.331486,14.986206,8.733333,112.647523,0.022195,30.95115,,30.340952
360,9.321152,2.566816,-5.031883,107.862116,19.945337,49.364202,,49.217796
361,10.410563,0.489012,-4.674273,153.61158,14.960923,68.023536,,67.51972
362,17.101294,8.417997,4.666667,46.618054,11.32894,44.355975,,45.136223
363,21.274872,13.227998,8.733333,117.472348,11.485515,41.743427,,41.96621
364,11.970421,10.03763,0.492529,91.794773,2.264209,64.610531,,65.55808
365,16.556266,2.856499,-4.354706,172.196304,21.931371,27.003063,,26.359375
